file,segment,rms_acc,peak_acc,rms_vel,peak_vel,inc_deg,inc_loc,damp,damp_loc
G3_P5_case33.mat,18,0.556211062854759,0.634611736365611,0.641417533300143,1.1109415907747,0,0,1,6
G3_P5_case33.mat,19,0.559161444373859,0.724622904756918,0.643350165802444,1.11156179482877,0,0,1,6
G3_P5_case33.mat,20,0.572084673329979,0.670853687985878,0.662146717464667,1.14018854321962,0,0,1,6
G4_P5_case42.mat,1,0.132004812783965,0.366951790699496,0.0438575630021143,0.10792152582384,4,5,0,0
G4_P5_case42.mat,2,0.0939713078219979,0.257437127086346,0.059163021989279,0.105018624814534,4,5,0,0
G4_P5_case42.mat,3,0.0726931144557699,0.192620672835802,0.0668040647849495,0.112930686086512,4,5,0,0
G4_P5_case42.mat,4,0.0559204158625259,0.105407577421213,0.0614374436301138,0.105828701229129,4,5,0,0
G4_P5_case42.mat,5,0.0515500094665884,0.102779151851977,0.0550138738294824,0.0969917078428702,4,5,0,0
G4_P5_case42.mat,6,0.0536482638125403,0.0870935440073968,0.0604721018249792,0.103825723669906,4,5,0,0
G4_P5_case42.mat,7,0.0535729160857393,0.094442881489696,0.057874698603354,0.0995403724200385,4,5,0,0
G4_P5_case42.mat,8,0.076514953348617,0.191412866752051,0.0671414062680676,0.134321678063249,4,5,0,0
G4_P5_case42.mat,9,0.194526205775462,1,0.0422928816854336,0.0689426280355449,4,5,0,0
G4_P5_case42.mat,10,0.0547955853017096,0.138911133611603,0.0611643240044789,0.105973343208091,4,5,0,0
G4_P5_case42.mat,11,0.0538781830153008,0.102156836776799,0.0608565357954555,0.105274410535147,4,5,0,0
G4_P5_case42.mat,12,0.0528242802565487,0.100996979310481,0.0589978780298606,0.101921771033409,4,5,0,0
G4_P5_case42.mat,13,0.059349978500132,0.12410778915853,0.057767195020543,0.101304652452126,4,5,0,0
G4_P5_case42.mat,14,0.125112383360926,0.544884835707419,0.0532774048225164,0.0934714503858113,4,5,0,0
